iter,gen,Params,ESV_Clinical,ESV_Sim,V0_simulation,EDP,EDV,Target_EDV,EF_error,Phys_rmse,Diff,Vol_cost,Strain_cost,V0_cost,ESV_cost,loss_l,loss_c,loss_r
0,1,"[0.451502, 1.410922, 13.379407, 4.99407, 6.601561, 9.534021, 0.765347, 3.729085, 2.291734, 7.616221, 0.545395, 22.788196, 4.207521, 9.475181, 1.143529, 19.440434, 2.107703, 4.679104, 20.493534, 1.928557, 7.54257, 0.769893, 2.315698, 18.816445, 1.793259, 7.482189, 22.114503, 17.616866, 9.455916, 0.416957, 1.396987, 10.487535, 0.681122, 8.093864, 25.944133, 3.047704, 1.83078, 9.651593, 2.262059, 10.611839, 0.938432, 14.563957, 24.252976, 23.165343, 6.599722, 1.043166, 1.012467, 2.741682, 1.428799, 3.299709, 4.225084, 13.695291, 0.123292, 8.196488, 2.178148, 1.869253, 1.089105, 7.390223, 23.171408, 4.908203, 7.074441, 9.625938, 1.74881, 12.388474, 0.753782, 18.264737, 20.910081, 18.063474, 7.897476, 7.871879, 1.156753, 8.510018, 1.029367, 10.877872, 18.716099, 19.943034, 3.886991, 6.319542, 0.409328, 3.261545, 0.672925, 15.619072, 19.713467, 2.712205, 6.895324, 8.075992, 2.472121, 11.150511, 1.226237, 4.571957, 20.674904, 13.417869, 0.685051, 7.260627, 0.963804, 1.503778, 2.870574, 18.159291, 13.782677, 5.740235, 8.363046, 4.707152, 2.829696, 13.750984, 1.031318, 19.100237, 28.131219, 7.045176, 1.228635, 4.009404, 2.659925, 12.45834, 2.69201, 5.260536, 1.747787, 16.977222, 4.755437, 2.485446, 1.783596, 9.714101, 0.333716, 2.879887, 29.098548, 23.433841, 4.264244, 8.842594, 2.763398, 19.455808, 2.2]",86.4,107.78533355340001,107.5756047186,2.2,201.42609229279998,184.46,-0.06671684702859437,2.365213817556954,9.02990905034043,0.09197708062886246,15.270252858989942,0.171068364519555,0.24751543464583334,6.22085120001782,4.348928148802363,4.700473510169758
1,1,"[1.5313875827474859, 20.451280034700595, 28.304141891141978, 16.391842272514467, 9.908561683363267, 9.217523853556433, 0.10639681687956289, 9.31350722028417, 0.7456482253996495, 1.6865151748353582, 21.33305423769102, 5.249204361459, 8.966874002692416, 2.288156269928966, 2.8846985662130527, 6.143780374617923, 2.1806597811025155, 13.109722921255758, 10.404402648633383, 5.335460286148642, 8.188482202934317, 4.859719823219379, 1.6676892341485745, 11.403587634509691, 1.179987248553628, 14.268310324335541, 12.852706062610014, 16.260420914752295, 4.328743484830221, 5.623821041398321, 2.3840341145905186, 13.84989805984095, 0.08970245940808483, 9.312380505478233, 3.0343186045168533, 22.16897113561758, 3.4274712677087416, 1.7292434803163137, 1.6761667824672442, 11.024713654852963, 2.339382961215136, 16.00942508883317, 21.827119492393408, 20.440760428259487, 4.026689420992779, 7.874604575769221, 2.5225698362283175, 17.12090133682587, 1.9601159669290258, 29.685990990375924, 22.42623534109295, 13.710523053331773, 9.7489244612673, 5.925361862751151, 2.188440789396532, 4.969761662383221, 0.4512939005661958, 11.883542472482727, 19.511478704853708, 7.345147223641351, 4.0690414465746505, 7.724773431171317, 0.8149394607837459, 4.662586412669866, 0.4393271425573523, 1.5421768991246343, 23.808244060838355, 24.179009415498737, 1.7726982048209228, 1.5916162686145476, 0.14581228621267053, 2.167974072063326, 2.9938739615222847, 13.882223540622352, 17.523942383853733, 15.087776930118931, 1.542099392484943, 3.018181777059105, 1.6343014144144035, 0.3095224522549742, 2.1885082348370526, 15.708476472861852, 10.052127359663618, 24.43487793430546, 0.5186942070790231, 3.823048338395396, 1.0061246749367294, 11.90278087275616, 0.8169284633388182, 1.4139238297126524, 26.600323201214117, 14.31072476359933, 1.3781279532350281, 7.619821773567787, 2.594975335310269, 5.003837629605107, 0.13214344039282666, 6.513402037690756, 2.811592340893791, 9.588148648389218, 4.115914303187735, 1.3987726413502501, 1.431871221533168, 6.810565020377173, 0.9289575940553743, 19.4103333966757, 26.756084736298927, 5.989679868388161, 9.0838145030488, 0.3662830767314581, 1.7926695840189506, 16.059023877477266, 0.5760390811504046, 10.632721337059632, 23.19283847959004, 2.766315491456562, 5.481326925460052, 8.7428706750248, 1.8041801895646374, 19.901191456367727, 1.3969695965678648, 6.9193612942616065, 21.281415608176452, 13.552768000142748, 7.243010085179242, 9.095916350603634, 0.4225695457802935, 10.89915536491709, 2.9632628871659]",86.4,107.78533355340001,107.5689206443,2.9632628871659,202.3035690593,184.46,-0.06439584230602549,2.3119185238986515,8.989109457861408,0.09673408359156453,15.109704709499766,0.17099560166612446,0.24751543464583334,6.2263416563652605,4.230780040420876,4.652583012713632
2,1,"[2.382793443549767, 11.338420704925193, 10.012087954218856, 5.810606367829801, 9.984720180797362, 1.0510670188756697, 2.237105675945088, 2.3990081852530003, 0.7435475847126648, 8.350542959455154, 2.05821434348496, 13.253032013494975, 6.47727030314469, 8.207932897595612, 0.5008878053194162, 8.622161291986247, 1.308600158208347, 12.443233070446498, 2.9131792522992077, 16.25310957883604, 1.078223845798146, 9.146363642255045, 2.899284214255457, 2.4222583193632192, 1.7467250459302697, 7.519027627632251, 13.338417503688202, 8.97291155446969, 7.0781227128958335, 1.588143914041269, 1.754981968185917, 3.4379559066365255, 0.8261412622123326, 28.15839242763458, 14.71974986202962, 22.728558771322124, 1.1998095164022993, 2.041595693325863, 2.1438123113900245, 4.787474630301889, 0.7943557994890255, 3.456267035375414, 4.3393385597062775, 23.684823108533266, 0.011808667080835415, 6.939620965995788, 2.8621939656433906, 18.526749263526426, 1.6077606012277939, 29.34953408949019, 10.133883042257569, 2.196029042093385, 8.624183514181968, 9.66344978371087, 2.8865121296511873, 10.476320961556038, 1.282774817320576, 25.84986936342692, 19.070249208158465, 13.907362439018982, 1.6678911801982244, 0.4818413777523106, 2.8222861680715363, 10.046089214985464, 0.3516067311630082, 28.607354553403, 19.85896167670714, 2.928931584203233, 9.738539755341977, 1.1026587508841033, 0.20843923050639104, 10.968627365807889, 1.7603892810497874, 8.47452557310305, 14.114312189009883, 11.836274124337518, 8.658114795498417, 6.944031052193273, 1.7945843636768624, 4.367054563538527, 0.5257466970930011, 1.5708569080355246, 20.302486137163964, 10.806557996888696, 9.07628682798754, 5.607189538113661, 0.8668626491412328, 6.697296198623522, 0.9414787975801169, 9.397221501580482, 29.32726179026646, 18.729049932232805, 5.107257301736981, 8.691850467513735, 2.1208907602334226, 6.025959566988541, 1.789859681524172, 13.18023197542792, 0.8754388862894895, 1.9334870924178826, 6.420006192160356, 6.954999310429878, 0.44180669213433643, 19.70329215953877, 0.6030619334377472, 6.816090493539953, 19.467451807322643, 6.774709546064022, 6.925070536353254, 2.2332499088889537, 0.18153107013718928, 12.542479730073103, 0.9545034472032171, 9.239442755745658, 23.576044189613558, 9.644905754242464, 7.355326479998239, 8.218397899740753, 2.911711098765692, 12.173715859475747, 0.6155100696411699, 7.795256103953359, 24.623524009731085, 16.993108352117286, 8.278687891292154, 6.05822860021163, 1.8501001488939048, 16.8820916541888, 2.280404788275]",86.4,107.78533355340001,107.5867196523,2.280404788275,189.8276918569,184.46,-0.09941193228915651,2.7125682920503102,9.312507825821857,0.02909948962864575,15.34025884364679,0.17118936172206992,0.24751543464583334,6.251547180064156,4.347392555320551,4.741319108262082
3,1,"[2.585936999077126, 7.537730557594855, 1.7738517080699072, 10.311163221124328, 1.8170031514777913, 8.759011928294278, 1.6918644651386319, 0.2434080396457127, 0.740613833512197, 13.549714788637383, 8.797469532978479, 15.99347722244643, 0.619458604079361, 2.93773677502086, 1.6622550185328504, 0.9415167064571426, 0.7379567629203361, 14.797539382574268, 29.89374285588439, 16.014560614193886, 5.787762989456192, 5.631280805574642, 1.0188650764281766, 1.191272463793827, 0.5635822702933551, 9.026889678653848, 16.530825102631145, 11.510560462352034, 0.4938002126260044, 5.277802491452577, 1.133658622941627, 9.171150015289578, 2.786153771724117, 3.056762568686204, 24.061650450377975, 22.40489011534656, 5.258106170085073, 0.3872207843579232, 1.35588996773313, 9.37518577688462, 2.181667406867505, 7.049611193163123, 25.334517716175828, 2.589118148769453, 6.512641191814572, 2.342042339676738, 1.553860105800711, 17.43391478705392, 0.4484871324229162, 19.899075863145143, 18.426464622229865, 1.4528266070786318, 4.052312981787213, 4.895657862326104, 0.16646184129053193, 9.993648327467236, 0.2049635407018167, 25.549445798760658, 17.665196787013944, 21.27529424761804, 5.255337853004447, 2.570179068457515, 2.0265495566523284, 14.930139126899089, 2.464839221486355, 11.956059137768344, 17.36211687166206, 19.71249876440398, 6.9911480632918845, 7.067666475421965, 1.2280526432673344, 5.098832779580224, 1.8449707168290472, 8.600238659832527, 20.532587573544774, 10.64032798548677, 2.5459554706524075, 7.385505480762773, 1.5400384277633208, 8.621077481332721, 2.9209449582313476, 6.423669802926375, 24.013850113323276, 23.25043793243486, 4.962988939342065, 3.1991833209605227, 2.06124464839099, 15.54132775326102, 1.7763450582778815, 13.01215538350608, 25.213565770001065, 10.4761336070142, 5.23900949433158, 1.1463263293614065, 1.548345680644534, 1.4376457061148473, 1.1670057054083818, 22.80385669321246, 15.078251574085893, 5.67734973763476, 2.693066815499605, 8.671815320645944, 2.399026831643802, 3.53664690098609, 1.789061608128383, 22.145474710927814, 8.749905679178637, 4.525120243695541, 4.637194556232252, 6.823425452122004, 2.343705581036427, 11.679147497339631, 1.5930165312318136, 27.898242568404108, 1.6975295101072692, 2.6059041556964093, 6.03169785375301, 6.908383008323415, 1.6125149325525547, 2.0142216389102585, 0.6726015201320648, 23.675811266475886, 15.501236220720035, 5.361366970464792, 9.294657595156561, 3.8724309664539165, 0.1372289057118565, 9.871141318225604, 2.512441055073613]",86.4,107.78533355340001,107.5545199677,2.512441055073613,189.6294538488,184.46,-0.10000551498780212,3.823844316364976,10.415103146063686,0.028024795884202553,15.34205511949904,0.17083883585627344,0.24751543464583334,6.244885278300203,4.379563276724842,4.717606564473995
4,1,"[0.19391027261326824, 6.8256772479831245, 16.472698401727563, 24.29349901359021, 7.683786040622757, 8.041148839236435, 2.2725800519188724, 19.05319304033365, 1.0210605299461124, 4.360506147524705, 13.136416333055536, 15.103507216486246, 4.0446710494068645, 8.917895982231249, 0.6112456249397892, 9.92662064270649, 0.17194447274713093, 16.442420966877688, 13.18713064959597, 3.205960696071405, 1.2510659334541274, 1.266719980967548, 0.3468541296931328, 14.0790008648286, 0.14021803976731823, 23.297920856755187, 24.681154337800777, 13.07011569391926, 9.329447180824467, 0.6066788472487694, 0.3057680104349628, 8.559462844058567, 0.29293707494861904, 23.85981388702131, 29.743440367303688, 17.065150326655278, 5.747504062767264, 4.356536900048688, 0.3389985705330252, 18.90633326529391, 0.22072042882590528, 18.71948917189723, 25.367687950022095, 1.824017567651504, 1.7660304697215816, 0.2831542356368124, 1.2195324321387304, 1.4208684298555074, 2.5236796768146488, 18.296957355892452, 18.06828539474858, 2.244346055195786, 1.7350076122610913, 6.687539332417501, 0.17484519413988725, 0.9328756281337907, 2.2199336223169417, 1.0901529628993865, 1.711358635095642, 5.828586313316949, 3.1410711031158662, 8.921911846862683, 2.8686900016059513, 12.075679336026576, 0.06505124361211202, 17.754183277853276, 2.241953698095319, 21.615947259765825, 3.0074359843118534, 7.794350219287013, 2.0198388854432685, 10.8290516049438, 1.555219057531585, 27.5455404465, 0.8420061606656819, 3.776824656338974, 4.419174388641778, 0.12922352863795952, 2.9354525736372623, 1.7754281338131037, 1.4798050493518542, 26.501903657851713, 25.775262039472484, 13.047823943407284, 8.49350081819315, 9.684665927537111, 2.3163828691718695, 7.513491460732359, 2.70350578887231, 28.32972759926589, 19.37516557743651, 18.93150318599617, 6.402906871642735, 1.591419550612565, 2.8191764961220076, 3.233635705871929, 2.412479201870601, 20.457627025171874, 27.328035678751874, 5.303760018860312, 8.360189301169429, 6.722532507964785, 2.143247079719715, 7.77660452321951, 2.0541991050721156, 11.143560575146282, 1.094020099202575, 17.300756687385867, 4.333282126228051, 8.592116331020714, 2.505937268019124, 3.2545914929074966, 2.337188232707516, 20.50264990097809, 14.478808474853755, 8.269937144462233, 9.26258385412456, 4.200206657902502, 1.6705939628413524, 2.247365877689743, 1.8663056869416763, 12.369465873628037, 10.454482483469514, 9.334877372313713, 7.52689797335438, 3.590719284935758, 1.7787014257288793, 6.28139786510814, 3.496683786036206]",86.4,107.78533355340001,107.5663920745,3.496683786036206,197.5748009333,184.46,-0.077147674566193,2.3367452114164076,8.919384879494377,0.07109834616339579,15.011963672230461,0.1709680756474886,0.24751543464583334,6.170205486187444,4.2362017619595465,4.6055564240834705
5,1,"[0.3593541861672775, 3.1834054613316, 22.473442111438136, 11.277511446167427, 1.2712856000023836, 8.261849416075016, 2.506356383376963, 14.107040621245119, 2.6439699078097383, 1.0120223036892706, 29.58763011440019, 19.487367031451054, 5.838047448396584, 9.66532047365802, 0.45421592589839754, 9.00061275189872, 2.6188079284785886, 14.39298620863745, 9.957434198242247, 16.836644902686242, 6.313048029012566, 9.047756034665237, 1.6459307305109825, 10.878639980809151, 2.54328474860006, 15.677523404300974, 4.647089344649426, 7.639247637369155, 3.723527827116775, 8.310990147118396, 0.3349443369062515, 4.606528154032813, 1.3912266283308299, 15.840534859639252, 25.85775076281961, 9.96711848658753, 4.0692558495463516, 8.185167612504898, 1.4214903798420404, 15.425292715957722, 0.18586962002229174, 2.2774046732516107, 10.036552888352649, 6.390216351600462, 6.9082572239685485, 5.66772824338577, 2.693300746534688, 0.8018266501037737, 0.7980217323217627, 27.96219613603309, 25.95660164327988, 2.7348247193076896, 8.991500859053673, 0.13905740078949558, 1.3699959446768526, 3.250471383342761, 1.5244836742313361, 25.4716933238038, 6.454629763119125, 7.570337138674078, 7.509371611086807, 7.309358754506929, 0.11258675033225274, 1.1228956103060448, 1.1441026816208235, 27.754186757606785, 10.264423685112638, 8.659915689712324, 7.469298624088924, 5.2697623189153076, 1.7311328863923043, 16.126561037067972, 2.7931359923260666, 9.819516137183458, 23.78045640453421, 8.737533382517052, 8.417234757999225, 2.509028634681213, 2.655746325766271, 16.223067761232247, 0.07610487554639887, 2.2678540322643967, 16.10273687566421, 13.750621204351399, 3.8540606115755884, 5.338650941554032, 0.21361232790064424, 2.3186309734986787, 0.5882148618518406, 18.88671982692443, 4.614926732368038, 5.335350170390349, 3.0859477219860696, 6.264742364460215, 1.3067444778700343, 17.19234431692852, 0.4928461646417257, 26.604612427760134, 18.99877440388462, 24.0835528986807, 7.431372430121536, 5.909882042020545, 1.3107086057010688, 1.218068035316591, 1.651256235639243, 1.7854155221834107, 29.563716680586325, 1.1510134690685145, 1.2753292309684519, 2.6229183048202236, 2.546790200097608, 7.119051772316063, 0.29717552173343326, 17.63618128873132, 10.029198496779772, 10.511898832762352, 7.0754667351304805, 2.4980770399412733, 1.8583812849270573, 4.517652983304301, 0.053743877061336945, 16.415881786540915, 21.98094722523317, 1.6107697323428, 2.6601971863325056, 1.5741467252912185, 2.4508925979398817, 10.41322772190053, 2.6963815736699708]",86.4,107.78533355340001,107.58065402620001,2.6963815736699708,202.9645443746,184.46,-0.06266075557787879,2.3420265598790415,9.030262863284538,0.10031738249268127,15.254074389610004,0.17112333129765084,0.24751543464583334,6.231940910547209,4.311025526864609,4.711107952198187
6,1,"[0.26593739458985144, 17.923489979711093, 11.067123064587715, 5.322679726702541, 0.4881485959772547, 8.950712390322293, 1.2898563019723008, 2.5717680110293863, 2.7038121581450314, 29.422106662591517, 15.462221580625773, 23.865993373550623, 5.048402000726424, 1.1844445255010176, 2.7792045135878083, 1.3043194888549403, 0.35334912058179835, 23.569614696167402, 3.893254530808809, 14.367118889070237, 7.27237063204255, 1.502658782180391, 1.43901120406174, 4.423511181321261, 2.7687090829284284, 23.45939339998367, 8.444511312482362, 10.673679346451255, 2.4559411794770827, 7.798868179889684, 1.449821582510769, 8.37722914655057, 2.142153194717089, 25.609910142708227, 5.210657709574743, 5.023401857774428, 8.201585366621583, 4.478366413094, 2.737427969824209, 4.2524147224220705, 1.8953775894666636, 18.846369689418932, 19.483087810808442, 15.309577424634893, 6.366873705171566, 1.7522692953030818, 0.46138618706352275, 0.9431476696902187, 2.880753868222121, 7.875681756228873, 22.174640331358198, 11.360784941024633, 4.050912240159051, 3.155893120173649, 0.21995288788555806, 11.931450785182854, 2.153552027955004, 10.810629170862104, 12.558662029177077, 2.5990162436446758, 4.383660922037755, 1.1964816991765184, 1.0452863559980852, 6.527724642220793, 2.7562004752332054, 24.419392616029274, 4.0010545133028526, 19.53137284220259, 6.067437454985343, 5.529660887887843, 1.5335926699728881, 2.0149948678108456, 2.1613065423567717, 7.894796993763618, 29.226981343433884, 16.608143348074066, 2.924990725439174, 7.016498051680493, 0.6959752279031531, 4.081917481888006, 2.4914821947784564, 18.068776840875486, 25.58085697871675, 12.799554363175524, 7.152577477022444, 9.734956627563827, 2.7045089061770673, 8.853551782021821, 1.9518321902040885, 19.543164307659083, 11.497708993258273, 20.202802198247053, 6.796106670399186, 4.126504391714624, 1.4784756891522515, 12.817467326410753, 1.7166631466740292, 2.0669319831171267, 21.883932015479285, 9.486761270510907, 7.063722470039941, 7.204502717922466, 1.3086960740503617, 4.747731023909051, 2.2243042592893363, 17.090339668640176, 27.698228553700933, 7.616921453786824, 2.836265697037265, 2.162617985307142, 1.8430563589593665, 5.329055415061381, 0.8918821737247996, 20.39036911055091, 27.56033548420032, 22.839254531186896, 5.754735450956132, 8.720573816031003, 1.416002354329855, 0.8225841591848518, 1.6378460044856642, 4.771663599598927, 23.437377660789256, 13.819286458062138, 6.509716512774309, 6.533767176980338, 2.7447954780908366, 9.984576021128046, 2.0895766235104407]",86.4,107.78533355340001,107.5785447982,2.0895766235104407,174.36303744670002,184.46,-0.14977195255713555,2.0732166457283663,8.650368140243673,0.054737951606310245,15.452919750992706,0.171100370235142,0.24751543464583334,6.253569690585157,4.424791082425242,4.774558977982308
7,1,"[0.5035974786664578, 19.980964180964772, 15.686416363096928, 21.42036476730656, 9.543618479850632, 9.898548388100712, 0.9746445005536098, 11.320136061323362, 0.32222410952074027, 21.6755301505418, 12.092507560782614, 9.014629567284558, 5.8335016903332635, 6.369288539101573, 1.3671271309756632, 0.20341053135451195, 2.8028589816030807, 24.502146475503707, 15.184545854914848, 12.29697709896092, 1.6205372444693593, 2.266796382672036, 1.5453289465097364, 7.595609084936465, 0.9854685150398614, 5.217268359739051, 27.55641126508671, 18.395657915496823, 9.480551286113174, 2.2240160801088926, 2.0866886316543463, 7.8073733062051005, 1.7217283273514807, 26.28226644060559, 18.503934839188577, 21.23336695351626, 4.890992253883817, 9.890293917855638, 1.410804618921357, 17.298643442093923, 0.5266612184017435, 11.759591234665443, 20.2155768534633, 22.305908834977334, 9.161291449544978, 7.440371964948541, 2.7944495863814285, 3.17005134555894, 2.1573481949690754, 1.8694786874973652, 0.6768248157810555, 7.966933771499672, 1.4757978366290363, 5.533749712418509, 0.5273887539685709, 9.573555298977935, 2.5107410803466967, 28.44065379556678, 16.58254861847328, 12.981179047725183, 0.827346401404214, 7.946395792692243, 0.8047759191870737, 11.591022884864586, 1.9873530072425272, 20.0874184399107, 9.125537093520892, 14.26018567571887, 6.579157724295835, 7.805556371500698, 0.31606093584135264, 17.579948726505382, 1.4517613447187832, 13.324266458604592, 5.496521229001602, 16.25350568913126, 0.6025601782023694, 2.1221337554828206, 1.2848562865432762, 19.98655543475311, 0.7095496950313116, 23.9168777636817, 2.5457209958557234, 8.99240045953345, 6.594849674947133, 7.75550251316752, 0.803613466563639, 8.22647375345735, 0.5971376815033302, 21.650368425374918, 21.460458301706172, 11.491669380441863, 0.988622748547843, 3.3116504031105527, 1.6296437535280264, 16.460874097889498, 0.3785319384923641, 14.520575747959308, 17.274352486614006, 4.73634670867706, 8.451737805292156, 6.480334271609666, 0.637136451952598, 15.526375464780017, 1.657479595343672, 21.92058301055966, 3.355953987394959, 21.649199692089724, 9.145708522902167, 9.219362288360598, 2.9571484069349956, 18.65536165022416, 2.5860210581015184, 6.305987683839902, 18.84020095944827, 8.85537092325156, 3.189178924533705, 7.397122357173836, 2.931991898551575, 7.268953411801523, 0.8182741574346489, 17.53438134549248, 9.574061063645699, 9.299247709942634, 7.812050325281226, 6.96769898861715, 1.3586017318058343, 8.007460832063611, 2.984228000300323]",86.4,,,2.984228000300323,,184.46,,,inf,,,,,,,
8,1,"[0.10582248371735914, 3.998599459164709, 27.251683893547053, 20.17749530823555, 6.315513973063915, 3.8162842181020826, 1.4518108886629584, 18.09725095561021, 2.0955034654105473, 15.14638703376574, 26.444366272317684, 4.032513150128117, 1.7530470325433565, 8.910942145458234, 0.9495519959262845, 1.8577565288578513, 0.8847849885267042, 17.496561032191, 7.169566891432, 6.626037435624783, 0.19529443639602984, 8.660637089685782, 0.7081748687767663, 1.210657770547023, 1.376565543934926, 17.178835600603524, 7.683162362570409, 12.912128610572884, 3.991204327454462, 7.42910262134097, 1.026835411847903, 18.269141995476158, 2.0320769690973024, 28.71577565326971, 23.307098847607463, 2.7077513150542982, 6.608260676643738, 3.6804153298934676, 0.12121267306233612, 8.774405713575671, 0.9640736941980669, 9.726175349476302, 5.757358445347588, 15.912529151215804, 7.937390562728286, 1.6661963561644972, 1.2031267429525068, 15.742897152777795, 2.2746223080340826, 11.413779462044555, 11.654679390190324, 7.54901384821223, 7.297735197782803, 3.8784217389789544, 0.7139441984728109, 16.43331546155758, 2.659935089811522, 27.965633003318548, 29.119155397689518, 17.139283194493437, 3.395907404973491, 4.525323808393929, 1.9222626756796033, 17.417069377426873, 1.6275267505281819, 14.549675458696976, 15.237206532614396, 13.416210071114191, 9.851196232962852, 0.3647255666400171, 2.3386143212792105, 17.53397605218486, 1.7909775768467464, 6.4222706779693715, 26.937423377916485, 22.77638770844856, 8.971810631284704, 6.404306838768476, 1.8295297953584877, 11.989943937701145, 0.21190023632326957, 5.583045102935607, 2.8137703166692973, 1.6546720549529894, 0.049997036759425684, 0.7129641257839382, 1.9498322564622015, 0.2823080984427079, 0.37371459272674185, 13.83396454230299, 9.993097969494212, 13.861317129772386, 9.396313400062658, 1.2543794309558214, 2.5027894913819337, 8.323691798036982, 2.058394491552547, 28.13841035821892, 26.719977273352775, 16.22497091916007, 7.747705091641435, 9.95681730609678, 2.2983858905194716, 13.391367522361886, 2.1094803532199102, 13.544760382340606, 11.170793378173506, 11.283836801680605, 3.052526177026562, 0.5795269508520542, 0.2668171698320637, 9.155460413105105, 1.4741239582853929, 21.547567961343237, 13.063784776785923, 8.809178924185488, 8.558301279631959, 6.82388554936444, 0.24626008470975375, 2.3316108226162298, 0.5717110362905999, 14.910492712260105, 20.822763767690553, 4.641053038692779, 5.4415421618063196, 0.9377172646345658, 0.6413186251337092, 18.697048537075876, 2.7462267058810204]",86.4,107.78533355340001,107.5595218633,2.7462267058810204,189.44780017259998,184.46,-0.1005505300445261,1.4628539821836828,8.056033348003595,0.027040009609671338,15.335577372172562,0.17089328650719113,0.24751543464583334,6.248281165101742,4.367345071442288,4.719951135628532
9,1,"[1.4375134995058403, 28.198439428787413, 27.3961708996403, 7.457748698926737, 4.103856188431635, 3.032499806457115, 0.6766143106947122, 9.122182446301261, 1.05632644277233, 4.6770867480516864, 11.125920841170315, 19.84274881238803, 0.3907786439026882, 2.0447582993314284, 2.683648833670832, 0.7648367389363855, 2.035035205670659, 13.075194698426111, 5.4484944175647545, 5.21495504719161, 0.8346437038402957, 9.829143587215976, 2.7789201822788483, 10.058660277136264, 1.5280124493912162, 28.298051381313947, 22.777248186717024, 22.28360982186942, 8.310488625725272, 6.660952847586696, 0.2884947894157443, 0.940040848955483, 0.40250301743334593, 25.571895464229485, 14.949319340618517, 15.927027933644332, 6.029044472237666, 9.754962077247276, 0.9730101753557141, 8.090843731858824, 1.941984968824797, 9.793352655832683, 6.878000687426561, 3.0647041350703486, 3.30122648448874, 0.5066975518913865, 2.372307263345334, 13.900190198918992, 1.766300145437716, 12.582758555817913, 1.729399289343788, 24.61364892429794, 2.6296590945662515, 7.910027698334427, 0.2768785089399799, 11.921718630815265, 2.9692746206279383, 8.175976985055238, 1.9156374820071465, 12.179200234412004, 8.94608609672631, 7.8622739083822255, 2.8083972982590075, 13.07177096515942, 1.9440557415357431, 20.98937685709991, 28.47588221746571, 10.468945067593662, 8.019141627579852, 2.82930691383816, 2.637194338269722, 16.80712390020404, 0.36442289692387064, 25.948860373157896, 22.747979082247063, 2.632142075617211, 1.9417741307576808, 1.8022138151344933, 1.4899340578425502, 16.673339556954414, 1.1470448784615468, 28.771796788282266, 27.828797027787303, 12.793455522501999, 7.331653134411987, 9.484799067402623, 2.301449623773465, 3.390489490108469, 0.6262744506908614, 25.836805151001922, 8.203162885996953, 17.466453722596036, 2.016208789047933, 1.357251161165383, 2.0983333162844993, 6.503015380675899, 2.6578779972238866, 19.748237173913758, 2.6182290161594475, 14.602375447772937, 0.10090677270990066, 7.0684760941359635, 1.1524767013549782, 1.8760127616873623, 1.823723443668905, 29.186940896521744, 5.919325771765536, 7.809857545804394, 3.6673858687050007, 7.228989629870697, 2.916270140741866, 7.4836338925836365, 2.476270311313082, 14.70706605317445, 19.025572874412006, 7.235702029773039, 5.441032782537071, 3.6575831481756, 0.3675140251730301, 7.650097263927852, 0.2623336169999869, 12.407601272044552, 22.227881797728124, 21.67896125725344, 4.089369936392189, 7.54500957431867, 2.3884038313979454, 11.14439914592597, 2.302832742815055]",86.4,107.78533355340001,107.55601138749999,2.302832742815055,177.554429554,184.46,-0.13866093332348306,3.7773387918191634,10.348260492363055,0.037436682456901293,15.421850198396392,0.17085507145681272,0.24751543464583334,6.253775445307827,4.421902334232756,4.746172418855808
